home_zcta,home_county,atl_workers,workforce_share_pct,cumulative_share_pct
30349,"Fulton County, GA",1863,2.8569,2.8569
30265,"Coweta County, GA",1476,2.2634,5.1203
30253,"Henry County, GA",1418,2.1745,7.2948
30281,"Henry County, GA",1417,2.1729,9.4677
30331,"Fulton County, GA",1400,2.1469,11.6146
30263,"Coweta County, GA",1354,2.0763,13.6909
30213,"Fulton County, GA",1312,2.0119,15.7028
30269,"Fayette County, GA",1288,1.9751,17.6779
30344,"Fulton County, GA",1158,1.7758,19.4537
30252,"Henry County, GA",1112,1.7052,21.1589
30236,"Clayton County, GA",1106,1.696,22.8549
30215,"Fayette County, GA",1069,1.6393,24.4942
30238,"Clayton County, GA",1039,1.5933,26.0875
30277,"Coweta County, GA",1005,1.5412,27.6287
30135,"Douglas County, GA",954,1.4629,29.0916
30214,"Fayette County, GA",949,1.4553,30.5469
30349,"Clayton County, GA",927,1.4215,31.9684
30274,"Clayton County, GA",908,1.3924,33.3608
30291,"Fulton County, GA",806,1.236,34.5968
30318,"Fulton County, GA",803,1.2314,35.8282
30034,"DeKalb County, GA",763,1.17,36.9982
30228,"Clayton County, GA",733,1.124,38.1222
30058,"DeKalb County, GA",731,1.121,39.2432
30315,"Fulton County, GA",697,1.0688,40.312
30310,"Fulton County, GA",695,1.0658,41.3778
30080,"Cobb County, GA",692,1.0612,42.439
30296,"Clayton County, GA",653,1.0014,43.4404
30311,"Fulton County, GA",642,0.9845,44.4249
30354,"Fulton County, GA",620,0.9508,45.3757
30248,"Henry County, GA",602,0.9232,46.2989
30038,"DeKalb County, GA",600,0.9201,47.219
30309,"Fulton County, GA",553,0.848,48.067
30260,"Clayton County, GA",540,0.8281,48.8951
30083,"DeKalb County, GA",530,0.8127,49.7078
30276,"Coweta County, GA",526,0.8066,50.5144
30228,"Henry County, GA",516,0.7913,51.3057
30297,"Clayton County, GA",512,0.7851,52.0908
30032,"DeKalb County, GA",505,0.7744,52.8652
30126,"Cobb County, GA",503,0.7713,53.6365
30312,"Fulton County, GA",486,0.7453,54.3818
30337,"Fulton County, GA",483,0.7407,55.1225
30339,"Cobb County, GA",443,0.6793,55.8018
30016,"Newton County, GA",427,0.6548,56.4566
30324,"Fulton County, GA",411,0.6303,57.0869
30127,"Cobb County, GA",403,0.618,57.7049
30273,"Clayton County, GA",402,0.6165,58.3214
30308,"Fulton County, GA",400,0.6134,58.9348
30316,"DeKalb County, GA",384,0.5889,59.5237
30094,"Rockdale County, GA",366,0.5613,60.085
30294,"DeKalb County, GA",355,0.5444,60.6294
30082,"Cobb County, GA",349,0.5352,61.1646
30088,"DeKalb County, GA",338,0.5183,61.6829
30062,"Cobb County, GA",320,0.4907,62.1736
30223,"Spalding County, GA",303,0.4646,62.6382
30067,"Cobb County, GA",302,0.4631,63.1013
30314,"Fulton County, GA",300,0.46,63.5613
30134,"Douglas County, GA",292,0.4478,64.0091
30294,"Clayton County, GA",286,0.4386,64.4477
30030,"DeKalb County, GA",285,0.437,64.8847
30066,"Cobb County, GA",285,0.437,65.3217
30122,"Douglas County, GA",284,0.4355,65.7572
30305,"Fulton County, GA",284,0.4355,66.1927
