home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles
30349,"Fulton County, GA",1863,186,33.622488,-84.523908,AIRPORT STATION,MARTA-AIRPORT,4.64
30265,"Coweta County, GA",1476,148,33.418686,-84.713164,AIRPORT STATION,MARTA-AIRPORT,21.71
30253,"Henry County, GA",1418,142,33.453601,-84.187167,AIRPORT STATION,MARTA-AIRPORT,19.73
30281,"Henry County, GA",1417,142,33.556897,-84.195159,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,14.85
30331,"Fulton County, GA",1400,140,33.705447,-84.544070,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,5.46
30263,"Coweta County, GA",1354,135,33.388415,-84.858937,AIRPORT STATION,MARTA-AIRPORT,29.48
30213,"Fulton County, GA",1312,131,33.586742,-84.624426,AIRPORT STATION,MARTA-AIRPORT,10.91
30269,"Fayette County, GA",1288,129,33.393891,-84.569301,AIRPORT STATION,MARTA-AIRPORT,18.46
30344,"Fulton County, GA",1158,116,33.676636,-84.461601,EAST POINT STATION,MARTA-EAST-POINT,1.21
30252,"Henry County, GA",1112,111,33.473512,-84.057165,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,22.75
30236,"Clayton County, GA",1106,111,33.519927,-84.325187,AIRPORT STATION,MARTA-AIRPORT,10.86
30215,"Fayette County, GA",1069,107,33.391613,-84.456432,AIRPORT STATION,MARTA-AIRPORT,17.21
30238,"Clayton County, GA",1039,104,33.501846,-84.382236,AIRPORT STATION,MARTA-AIRPORT,10.27
30277,"Coweta County, GA",1005,101,33.375308,-84.649196,AIRPORT STATION,MARTA-AIRPORT,21.74
30135,"Douglas County, GA",954,95,33.672278,-84.733011,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,16.17
30214,"Fayette County, GA",949,95,33.490464,-84.485997,AIRPORT STATION,MARTA-AIRPORT,10.62
30349,"Clayton County, GA",927,93,33.622488,-84.523908,AIRPORT STATION,MARTA-AIRPORT,4.64
30274,"Clayton County, GA",908,91,33.557264,-84.400508,AIRPORT STATION,MARTA-AIRPORT,6.33
30291,"Fulton County, GA",806,81,33.575883,-84.543771,AIRPORT STATION,MARTA-AIRPORT,7.18
30318,"Fulton County, GA",803,80,33.792660,-84.448010,BANKHEAD STATION,MARTA-BANKHEAD,1.78
