home_zcta,home_county,atl_workers,synthetic_members,zcta_latitude,zcta_longitude,nearest_marta_station,nearest_marta_node_code,distance_to_marta_miles,nearest_xpress_park_ride,nearest_xpress_node_code,nearest_xpress_route_ids,distance_to_xpress_miles,outside_marta_10_miles,xpress_access_within_10_miles,xpress_extension_candidate
30349,"Fulton County, GA",1863,186,33.622488,-84.523908,AIRPORT STATION,MARTA-AIRPORT,4.64,Jonesboro Park and Ride,XPRESS-400012,441,11.52,false,false,false
30265,"Coweta County, GA",1476,148,33.418686,-84.713164,AIRPORT STATION,MARTA-AIRPORT,21.71,Newnan Park and Ride,XPRESS-400015,453,1.18,true,true,true
30253,"Henry County, GA",1418,142,33.453601,-84.187167,AIRPORT STATION,MARTA-AIRPORT,19.73,McDonough Park and Ride,XPRESS-400014,430,2.56,true,true,true
30281,"Henry County, GA",1417,142,33.556897,-84.195159,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,14.85,Stockbridge Park and Ride,XPRESS-400020,430,4.86,true,true,true
30331,"Fulton County, GA",1400,140,33.705447,-84.544070,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,5.46,Douglas MMTC Park and Ride,XPRESS-400006,463,10.78,false,false,false
30263,"Coweta County, GA",1354,135,33.388415,-84.858937,AIRPORT STATION,MARTA-AIRPORT,29.48,Newnan Park and Ride,XPRESS-400015,453,7.91,true,true,true
30213,"Fulton County, GA",1312,131,33.586742,-84.624426,AIRPORT STATION,MARTA-AIRPORT,10.91,Douglas MMTC Park and Ride,XPRESS-400006,463,12.29,true,false,false
30269,"Fayette County, GA",1288,129,33.393891,-84.569301,AIRPORT STATION,MARTA-AIRPORT,18.46,Newnan Park and Ride,XPRESS-400015,453,8.90,true,true,true
30344,"Fulton County, GA",1158,116,33.676636,-84.461601,EAST POINT STATION,MARTA-EAST-POINT,1.21,Jonesboro Park and Ride,XPRESS-400012,441,11.98,false,false,false
30252,"Henry County, GA",1112,111,33.473512,-84.057165,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,22.75,McDonough Park and Ride,XPRESS-400014,430,8.15,true,true,true
30236,"Clayton County, GA",1106,111,33.519927,-84.325187,AIRPORT STATION,MARTA-AIRPORT,10.86,Jonesboro Park and Ride,XPRESS-400012,441,2.15,true,true,true
30215,"Fayette County, GA",1069,107,33.391613,-84.456432,AIRPORT STATION,MARTA-AIRPORT,17.21,Jonesboro Park and Ride,XPRESS-400012,441,10.66,true,false,false
30238,"Clayton County, GA",1039,104,33.501846,-84.382236,AIRPORT STATION,MARTA-AIRPORT,10.27,Jonesboro Park and Ride,XPRESS-400012,441,1.94,true,true,true
30277,"Coweta County, GA",1005,101,33.375308,-84.649196,AIRPORT STATION,MARTA-AIRPORT,21.74,Newnan Park and Ride,XPRESS-400015,453,4.69,true,true,true
30135,"Douglas County, GA",954,95,33.672278,-84.733011,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,16.17,West Douglas Park and Ride,XPRESS-400028,463,4.22,true,true,true
30214,"Fayette County, GA",949,95,33.490464,-84.485997,AIRPORT STATION,MARTA-AIRPORT,10.62,Jonesboro Park and Ride,XPRESS-400012,441,7.51,true,true,true
30349,"Clayton County, GA",927,93,33.622488,-84.523908,AIRPORT STATION,MARTA-AIRPORT,4.64,Jonesboro Park and Ride,XPRESS-400012,441,11.52,false,false,false
30274,"Clayton County, GA",908,91,33.557264,-84.400508,AIRPORT STATION,MARTA-AIRPORT,6.33,Jonesboro Park and Ride,XPRESS-400012,441,3.18,false,true,false
30291,"Fulton County, GA",806,81,33.575883,-84.543771,AIRPORT STATION,MARTA-AIRPORT,7.18,Jonesboro Park and Ride,XPRESS-400012,441,11.05,false,false,false
30318,"Fulton County, GA",803,80,33.792660,-84.448010,BANKHEAD STATION,MARTA-BANKHEAD,1.78,Powder Springs Park and Ride,XPRESS-400017,476,15.44,false,false,false
30034,"DeKalb County, GA",763,76,33.690867,-84.248622,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,5.57,Panola Rd Park and Ride,XPRESS-400016,426,4.39,false,true,false
30228,"Clayton County, GA",733,73,33.400608,-84.307728,AIRPORT STATION,MARTA-AIRPORT,18.40,McDonough Park and Ride,XPRESS-400014,430,7.38,true,true,true
30058,"DeKalb County, GA",731,73,33.738350,-84.107376,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,7.34,Panola Rd Park and Ride,XPRESS-400016,426,4.54,false,true,false
30315,"Fulton County, GA",697,70,33.702741,-84.382853,OAKLAND CITY STATION,MARTA-OAKLAND-CITY,2.62,Panola Rd Park and Ride,XPRESS-400016,426,12.04,false,false,false
30310,"Fulton County, GA",695,70,33.726889,-84.428926,OAKLAND CITY STATION,MARTA-OAKLAND-CITY,0.71,Jonesboro Park and Ride,XPRESS-400012,441,14.52,false,false,false
30080,"Cobb County, GA",692,69,33.877818,-84.501703,BUCKHEAD STATION,MARTA-BUCKHEAD,7.96,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,11.03,false,false,false
30296,"Clayton County, GA",653,65,33.563160,-84.441157,AIRPORT STATION,MARTA-AIRPORT,5.36,Jonesboro Park and Ride,XPRESS-400012,441,5.29,false,true,false
30311,"Fulton County, GA",642,64,33.723262,-84.475994,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,2.19,Douglas MMTC Park and Ride,XPRESS-400006,463,14.44,false,false,false
30354,"Fulton County, GA",620,62,33.660361,-84.386502,EAST POINT STATION,MARTA-EAST-POINT,3.32,Jonesboro Park and Ride,XPRESS-400012,441,9.51,false,true,false
30248,"Henry County, GA",602,60,33.350460,-84.109119,AIRPORT STATION,MARTA-AIRPORT,27.91,McDonough Park and Ride,XPRESS-400014,430,6.19,true,true,true
30038,"DeKalb County, GA",600,60,33.666460,-84.139855,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,8.81,Panola Rd Park and Ride,XPRESS-400016,426,3.13,false,true,false
30309,"Fulton County, GA",553,55,33.799851,-84.385837,ARTS CENTER STATION,MARTA-ARTS-CENTER,0.74,Panola Rd Park and Ride,XPRESS-400016,426,13.94,false,false,false
30260,"Clayton County, GA",540,54,33.587165,-84.334307,AIRPORT STATION,MARTA-AIRPORT,7.42,Stockbridge Park and Ride,XPRESS-400020,430,4.17,false,true,false
30083,"DeKalb County, GA",530,53,33.796597,-84.192603,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,2.81,Panola Rd Park and Ride,XPRESS-400016,426,6.61,false,true,false
30276,"Coweta County, GA",526,53,33.263314,-84.583456,AIRPORT STATION,MARTA-AIRPORT,27.24,Newnan Park and Ride,XPRESS-400015,453,12.61,true,false,false
30228,"Henry County, GA",516,52,33.400608,-84.307728,AIRPORT STATION,MARTA-AIRPORT,18.40,McDonough Park and Ride,XPRESS-400014,430,7.38,true,true,true
30297,"Clayton County, GA",512,51,33.614988,-84.371672,AIRPORT STATION,MARTA-AIRPORT,4.64,Jonesboro Park and Ride,XPRESS-400012,441,6.29,false,true,false
30032,"DeKalb County, GA",505,51,33.740668,-84.264466,KENSINGTON STATION,MARTA-KENSINGTON,2.33,Panola Rd Park and Ride,XPRESS-400016,426,5.87,false,true,false
30126,"Cobb County, GA",503,50,33.815023,-84.553798,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,6.39,Powder Springs Park and Ride,XPRESS-400017,476,9.22,false,true,false
30312,"Fulton County, GA",486,49,33.744616,-84.375814,KING MEMORIAL STATION,MARTA-KING-MEMORIAL,0.37,Panola Rd Park and Ride,XPRESS-400016,426,12.00,false,false,false
30337,"Fulton County, GA",483,48,33.640147,-84.450081,AIRPORT STATION,MARTA-AIRPORT,0.23,Jonesboro Park and Ride,XPRESS-400012,441,9.47,false,true,false
30339,"Cobb County, GA",443,44,33.867570,-84.464600,BUCKHEAD STATION,MARTA-BUCKHEAD,5.73,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,12.58,false,false,false
30016,"Newton County, GA",427,43,33.517433,-83.928703,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,24.56,West Conyers Park and Ride (DT),XPRESS-400025,426,13.81,true,false,false
30324,"Fulton County, GA",411,41,33.818405,-84.358175,LINDBERGH CENTER STATION,MARTA-LINDBERGH-CENTER,0.73,Indian Trail Park and Ride,XPRESS-420032,415|416,13.01,false,false,false
30127,"Cobb County, GA",403,40,33.875084,-84.699340,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,15.60,Powder Springs Park and Ride,XPRESS-400017,476,0.54,true,true,true
30273,"Clayton County, GA",402,40,33.583798,-84.271027,AIRPORT STATION,MARTA-AIRPORT,10.82,Stockbridge Park and Ride,XPRESS-400020,430,2.50,true,true,true
30308,"Fulton County, GA",400,40,33.770959,-84.377736,NORTH AVENUE STATION,MARTA-NORTH-AVENUE,0.55,Panola Rd Park and Ride,XPRESS-400016,426,12.67,false,false,false
30316,"DeKalb County, GA",384,38,33.716794,-84.331343,INMAN PARK-REYNOLDSTOWN STATION,MARTA-INMAN-PARK-REYNOLDSTOWN,3.06,Panola Rd Park and Ride,XPRESS-400016,426,9.13,false,true,false
30094,"Rockdale County, GA",366,37,33.612505,-84.051523,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,14.93,West Conyers Park and Ride (DT),XPRESS-400025,426,5.05,true,true,true
30294,"DeKalb County, GA",355,36,33.636692,-84.264986,EAST LAKE STATION,MARTA-EAST-LAKE,9.30,Stockbridge Park and Ride,XPRESS-400020,430,6.17,false,true,false
30082,"Cobb County, GA",349,35,33.854654,-84.536437,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,7.91,Powder Springs Park and Ride,XPRESS-400017,476,9.52,false,true,false
30088,"DeKalb County, GA",338,34,33.756052,-84.182363,INDIAN CREEK STATION,MARTA-INDIAN-CREEK,2.87,Panola Rd Park and Ride,XPRESS-400016,426,3.76,false,true,false
30062,"Cobb County, GA",320,32,34.006497,-84.472974,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,7.89,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,5.79,false,true,false
30223,"Spalding County, GA",303,30,33.288794,-84.279919,AIRPORT STATION,MARTA-AIRPORT,26.13,McDonough Park and Ride,XPRESS-400014,430,10.52,true,false,false
30067,"Cobb County, GA",302,30,33.934278,-84.462185,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,6.06,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,8.93,false,true,false
30314,"Fulton County, GA",300,30,33.757861,-84.431963,WEST LAKE STATION,MARTA-WEST-LAKE,0.84,Panola Rd Park and Ride,XPRESS-400016,426,15.35,false,false,false
30134,"Douglas County, GA",292,29,33.777520,-84.781390,HAMILTON E HOLMES STATION,MARTA-HAMILTON-E-HOLMES,17.98,West Douglas Park and Ride,XPRESS-400028,463,3.77,true,true,true
30294,"Clayton County, GA",286,29,33.636692,-84.264986,EAST LAKE STATION,MARTA-EAST-LAKE,9.30,Stockbridge Park and Ride,XPRESS-400020,430,6.17,false,true,false
30030,"DeKalb County, GA",285,29,33.772712,-84.291005,DECATUR STATION,MARTA-DECATUR,0.29,Panola Rd Park and Ride,XPRESS-400016,426,8.33,false,true,false
30066,"Cobb County, GA",285,29,34.032388,-84.505154,NORTH SPRINGS STATION,MARTA-NORTH-SPRINGS,10.42,Town Center/Big Shanty Park and Ride,XPRESS-400023,484,3.80,true,true,true
