node_code,node_name,node_type,operator_name,latitude,longitude,gtfs_stop_ids,platform_count,connects_to_airport,direct_airport_connection,active
MARTA-AIRPORT,AIRPORT STATION,marta_rail,MARTA,33.640559,-84.446198,906647|906837|908695,3,true,true,true
MARTA-ARTS-CENTER,ARTS CENTER STATION,marta_rail,MARTA,33.789248,-84.387343,906369|906370,2,false,false,true
MARTA-ASHBY,ASHBY STATION,marta_rail,MARTA,33.756478,-84.417279,908963|908964,2,false,false,true
MARTA-AVONDALE,AVONDALE STATION,marta_rail,MARTA,33.775384,-84.281976,908438|908691,2,false,false,true
MARTA-BANKHEAD,BANKHEAD STATION,marta_rail,MARTA,33.772298,-84.428889,907960|907961,2,false,false,true
MARTA-BROOKHAVEN-OGLETHORPE,BROOKHAVEN-OGLETHORPE STATION,marta_rail,MARTA,33.860159,-84.339321,908186|908187,2,false,false,true
MARTA-BUCKHEAD,BUCKHEAD STATION,marta_rail,MARTA,33.847877,-84.367672,908639|908718,2,false,false,true
MARTA-CHAMBLEE,CHAMBLEE STATION,marta_rail,MARTA,33.887723,-84.305959,908603|908604,2,false,false,true
MARTA-CIVIC-CENTER,CIVIC CENTER STATION,marta_rail,MARTA,33.766174,-84.387504,908911|908912,2,false,false,true
MARTA-COLLEGE-PARK,COLLEGE PARK STATION,marta_rail,MARTA,33.650430,-84.448634,907844|908599,2,false,false,true
MARTA-DECATUR,DECATUR STATION,marta_rail,MARTA,33.774690,-84.295368,908475|908700,2,false,false,true
MARTA-DOME-GWCC-PHILIPS-ARENA-CNN,DOME-GWCC-PHILIPS ARENA-CNN STATION,marta_rail,MARTA,33.756183,-84.397253,908435|908694,2,false,false,true
MARTA-DORAVILLE,DORAVILLE STATION,marta_rail,MARTA,33.902599,-84.280888,908845|908862,2,false,false,true
MARTA-DUNWOODY,DUNWOODY STATION,marta_rail,MARTA,33.920996,-84.344240,908047|908051,2,false,false,true
MARTA-EAST-LAKE,EAST LAKE STATION,marta_rail,MARTA,33.765219,-84.313182,908566|908567,2,false,false,true
MARTA-EAST-POINT,EAST POINT STATION,marta_rail,MARTA,33.677205,-84.440623,908628|908707,2,false,false,true
MARTA-EDGEWOOD-CANDLER-PARK,EDGEWOOD-CANDLER PARK STATION,marta_rail,MARTA,33.761834,-84.340641,908476|908699,2,false,false,true
MARTA-FIVE-POINTS,FIVE POINTS STATION,marta_rail,MARTA,33.753978,-84.391571,908976|908981|908986|908990,4,false,false,true
MARTA-GARNETT,GARNETT STATION,marta_rail,MARTA,33.748817,-84.395643,907843|908600,2,false,false,true
MARTA-GEORGIA-STATE,GEORGIA STATE STATION,marta_rail,MARTA,33.750152,-84.385898,908618|908696,2,false,false,true
MARTA-HAMILTON-E-HOLMES,HAMILTON E HOLMES STATION,marta_rail,MARTA,33.754535,-84.469563,907907|907933,2,false,false,true
MARTA-INDIAN-CREEK,INDIAN CREEK STATION,marta_rail,MARTA,33.769875,-84.229390,908515|908516,2,false,false,true
MARTA-INMAN-PARK-REYNOLDSTOWN,INMAN PARK-REYNOLDSTOWN STATION,marta_rail,MARTA,33.757339,-84.352914,908437|908692,2,false,false,true
MARTA-KENSINGTON,KENSINGTON STATION,marta_rail,MARTA,33.772706,-84.251879,908634|908709,2,false,false,true
MARTA-KING-MEMORIAL,KING MEMORIAL STATION,marta_rail,MARTA,33.749902,-84.375833,908436|908693,2,false,false,true
MARTA-LAKEWOOD-FT-MCPHERSON,LAKEWOOD-FT MCPHERSON STATION,marta_rail,MARTA,33.700589,-84.428817,908629|908706,2,false,false,true
MARTA-LENOX,LENOX STATION,marta_rail,MARTA,33.845348,-84.358311,906827|908717,2,false,false,true
MARTA-LINDBERGH-CENTER,LINDBERGH CENTER STATION,marta_rail,MARTA,33.823456,-84.369330,907775|907823|908054|908055,4,false,false,true
MARTA-MEDICAL-CENTER,MEDICAL CENTER STATION,marta_rail,MARTA,33.910748,-84.351824,908872|908885,2,false,false,true
MARTA-MIDTOWN,MIDTOWN STATION,marta_rail,MARTA,33.781301,-84.386347,908374|908375,2,false,false,true
MARTA-NORTH-AVENUE,NORTH AVENUE STATION,marta_rail,MARTA,33.771607,-84.387231,907913|907914,2,false,false,true
MARTA-NORTH-SPRINGS,NORTH SPRINGS STATION,marta_rail,MARTA,33.944664,-84.357264,907766|908480,2,false,false,true
MARTA-OAKLAND-CITY,OAKLAND CITY STATION,marta_rail,MARTA,33.717139,-84.425084,908301|908302,2,false,false,true
MARTA-PEACHTREE-CENTER,PEACHTREE CENTER STATION,marta_rail,MARTA,33.758136,-84.387596,907842|908601,2,false,false,true
MARTA-SANDY-SPRINGS,SANDY SPRINGS STATION,marta_rail,MARTA,33.931618,-84.351014,907845|907846,2,false,false,true
MARTA-VINE-CITY,VINE CITY STATION,marta_rail,MARTA,33.756613,-84.403962,908958|908959,2,false,false,true
MARTA-WEST-END,WEST END STATION,marta_rail,MARTA,33.736135,-84.413658,908704|908705,2,false,false,true
MARTA-WEST-LAKE,WEST LAKE STATION,marta_rail,MARTA,33.753287,-84.445448,907906|908023,2,false,false,true
