synthetic_id,home_zcta,home_county,source_atl_workers,adoption_percentile,synthetic_generation_version,schedule_model_version,destination_model_version,schedule_type,shift_family,work_days,shift_hours,shift_start_time,shift_end_time,crosses_midnight,airport_destination,nearest_marta_station,distance_to_marta_miles,marta_access_tier,marta_inbound_days_supported,marta_outbound_days_supported,marta_round_trip_days_supported,marta_schedule_support_percent,marta_schedule_status,final_mile_validation_required,marta_candidate
SYN-00001,30349,"Fulton County, GA",1863,1.314,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,sat|sun|mon|tue|wed,8,05:15,13:15,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,3,5,3,60.0,partial,true,false
SYN-00002,30349,"Fulton County, GA",1863,4.778,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,tue|wed|thu|fri|sat,8,16:30,00:30,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00003,30349,"Fulton County, GA",1863,3.621,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,mon|tue|wed|thu|fri,8,19:30,03:30,true,South Cargo Area,AIRPORT STATION,4.64,short_drive,5,4,4,80.0,partial,true,false
SYN-00004,30349,"Fulton County, GA",1863,6.013,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,wed|thu|fri|sat|sun,8,22:00,06:00,true,Delta G.O.,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00005,30349,"Fulton County, GA",1863,8.261,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,midday,tue|wed|thu|sat,5,14:00,19:00,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00006,30349,"Fulton County, GA",1863,4.461,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,fri|sat|sun|mon|tue,8,13:45,21:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00007,30349,"Fulton County, GA",1863,2.086,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,sat|sun|mon|tue,10,07:15,17:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00008,30349,"Fulton County, GA",1863,9.347,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,09:45,17:45,false,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00009,30349,"Fulton County, GA",1863,6.715,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,fri|sat|sun|mon,10,14:45,00:45,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00010,30349,"Fulton County, GA",1863,0.089,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,evening,fri|tue,4,14:30,18:30,false,Delta G.O.,AIRPORT STATION,4.64,short_drive,2,2,2,100.0,full,true,true
SYN-00011,30349,"Fulton County, GA",1863,5.467,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,08:15,16:15,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00012,30349,"Fulton County, GA",1863,5.539,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,05:00,13:00,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00013,30349,"Fulton County, GA",1863,0.883,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,mon|tue|wed|thu|fri,8,15:30,23:30,false,South Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00014,30349,"Fulton County, GA",1863,3.883,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,overnight,wed|sun|sat|tue,4,19:30,23:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00015,30349,"Fulton County, GA",1863,3.524,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,midday,thu|fri|sat|sun,10,12:30,22:30,false,Other Airport Area,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,true,true
SYN-00016,30349,"Fulton County, GA",1863,3.234,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,mon|tue|wed|thu|fri,8,20:15,04:15,true,South Cargo Area,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00017,30349,"Fulton County, GA",1863,1.471,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,04:45,12:45,false,Delta G.O.,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,true,false
SYN-00018,30349,"Fulton County, GA",1863,9.169,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,wed|thu|fri|sat|sun,8,15:45,23:45,false,International Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00019,30349,"Fulton County, GA",1863,6.091,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,mon|tue|wed|thu|fri,8,18:30,02:30,true,North Cargo Area,AIRPORT STATION,4.64,short_drive,5,0,0,0.0,none,true,false
SYN-00020,30349,"Fulton County, GA",1863,6.663,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,midday,tue|wed|mon,6,13:30,19:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,3,3,3,100.0,full,false,true
SYN-00021,30349,"Fulton County, GA",1863,0.397,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,midday,thu|fri|sat|sun,10,13:45,23:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00022,30349,"Fulton County, GA",1863,2.395,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,wed|thu|fri|sat|sun,8,07:45,15:45,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
SYN-00023,30349,"Fulton County, GA",1863,5.415,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,08:45,16:45,false,International Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00024,30349,"Fulton County, GA",1863,9.437,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,tue|wed|thu|fri|sat,8,06:00,14:00,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,5,4,80.0,partial,false,false
SYN-00025,30349,"Fulton County, GA",1863,4.423,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,04:30,12:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,0,5,0,0.0,none,false,false
SYN-00026,30349,"Fulton County, GA",1863,1.021,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,thu|fri|sat|sun|mon,8,09:30,17:30,false,Delta TechOps,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,true,true
SYN-00027,30349,"Fulton County, GA",1863,9.772,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,mon|tue|wed|thu,10,14:30,00:30,true,Domestic Terminal,AIRPORT STATION,4.64,short_drive,4,4,4,100.0,full,false,true
SYN-00028,30349,"Fulton County, GA",1863,6.520,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,wed|thu|fri|sat|sun,8,07:30,15:30,false,Domestic Terminal,AIRPORT STATION,4.64,short_drive,5,5,5,100.0,full,false,true
