synthetic_id,home_zcta,home_county,source_atl_workers,adoption_percentile,synthetic_generation_version,schedule_model_version,destination_model_version,schedule_type,shift_family,work_days,shift_hours,shift_start_time,shift_end_time,crosses_midnight,airport_destination
SYN-00001,30349,"Fulton County, GA",1863,1.314,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,sat|sun|mon|tue|wed,8,05:15,13:15,false,Other Airport Area
SYN-00002,30349,"Fulton County, GA",1863,4.778,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,tue|wed|thu|fri|sat,8,16:30,00:30,true,Domestic Terminal
SYN-00003,30349,"Fulton County, GA",1863,3.621,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,mon|tue|wed|thu|fri,8,19:30,03:30,true,South Cargo Area
SYN-00004,30349,"Fulton County, GA",1863,6.013,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,wed|thu|fri|sat|sun,8,22:00,06:00,true,Delta G.O.
SYN-00005,30349,"Fulton County, GA",1863,8.261,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,midday,tue|wed|thu|sat,5,14:00,19:00,false,Delta TechOps
SYN-00006,30349,"Fulton County, GA",1863,4.461,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,fri|sat|sun|mon|tue,8,13:45,21:45,false,Domestic Terminal
SYN-00007,30349,"Fulton County, GA",1863,2.086,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,sat|sun|mon|tue,10,07:15,17:15,false,Domestic Terminal
SYN-00008,30349,"Fulton County, GA",1863,9.347,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,09:45,17:45,false,North Cargo Area
SYN-00009,30349,"Fulton County, GA",1863,6.715,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,fri|sat|sun|mon,10,14:45,00:45,true,Domestic Terminal
SYN-00010,30349,"Fulton County, GA",1863,0.089,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,evening,fri|tue,4,14:30,18:30,false,Delta G.O.
SYN-00011,30349,"Fulton County, GA",1863,5.467,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,08:15,16:15,false,Domestic Terminal
SYN-00012,30349,"Fulton County, GA",1863,5.539,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,05:00,13:00,false,Domestic Terminal
SYN-00013,30349,"Fulton County, GA",1863,0.883,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,mon|tue|wed|thu|fri,8,15:30,23:30,false,South Cargo Area
SYN-00014,30349,"Fulton County, GA",1863,3.883,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,overnight,wed|sun|sat|tue,4,19:30,23:30,false,Domestic Terminal
SYN-00015,30349,"Fulton County, GA",1863,3.524,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,midday,thu|fri|sat|sun,10,12:30,22:30,false,Other Airport Area
SYN-00016,30349,"Fulton County, GA",1863,3.234,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,mon|tue|wed|thu|fri,8,20:15,04:15,true,South Cargo Area
SYN-00017,30349,"Fulton County, GA",1863,1.471,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,04:45,12:45,false,Delta G.O.
SYN-00018,30349,"Fulton County, GA",1863,9.169,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,wed|thu|fri|sat|sun,8,15:45,23:45,false,International Terminal
SYN-00019,30349,"Fulton County, GA",1863,6.091,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,mon|tue|wed|thu|fri,8,18:30,02:30,true,North Cargo Area
SYN-00020,30349,"Fulton County, GA",1863,6.663,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,midday,tue|wed|mon,6,13:30,19:30,false,Domestic Terminal
SYN-00021,30349,"Fulton County, GA",1863,0.397,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,midday,thu|fri|sat|sun,10,13:45,23:45,false,Domestic Terminal
SYN-00022,30349,"Fulton County, GA",1863,2.395,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,wed|thu|fri|sat|sun,8,07:45,15:45,false,Domestic Terminal
SYN-00023,30349,"Fulton County, GA",1863,5.415,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,mon|tue|wed|thu|fri,8,08:45,16:45,false,International Terminal
SYN-00024,30349,"Fulton County, GA",1863,9.437,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,tue|wed|thu|fri|sat,8,06:00,14:00,false,Domestic Terminal
SYN-00025,30349,"Fulton County, GA",1863,4.423,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,04:30,12:30,false,Domestic Terminal
SYN-00026,30349,"Fulton County, GA",1863,1.021,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,thu|fri|sat|sun|mon,8,09:30,17:30,false,Delta TechOps
SYN-00027,30349,"Fulton County, GA",1863,9.772,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,evening,mon|tue|wed|thu,10,14:30,00:30,true,Domestic Terminal
SYN-00028,30349,"Fulton County, GA",1863,6.520,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,day,wed|thu|fri|sat|sun,8,07:30,15:30,false,Domestic Terminal
SYN-00029,30349,"Fulton County, GA",1863,1.601,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,mon|tue|wed|thu|fri,8,11:45,19:45,false,Domestic Terminal
SYN-00030,30349,"Fulton County, GA",1863,0.213,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,fri|sat|sun|mon|tue,8,04:45,12:45,false,Delta TechOps
SYN-00031,30349,"Fulton County, GA",1863,7.893,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,overnight,tue|wed|thu|fri|sat,8,19:30,03:30,true,Domestic Terminal
SYN-00032,30349,"Fulton County, GA",1863,1.023,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,sat|sun|mon|tue,10,05:00,15:00,false,Delta TechOps
SYN-00033,30349,"Fulton County, GA",1863,3.777,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,mon|tue|wed|thu|fri,8,05:45,13:45,false,Delta TechOps
SYN-00034,30349,"Fulton County, GA",1863,7.329,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,part_time,early_am,thu|tue|sat|wed,5,06:00,11:00,false,Delta TechOps
SYN-00035,30349,"Fulton County, GA",1863,5.852,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,day,thu|fri|sat|sun,10,07:45,17:45,false,Domestic Terminal
SYN-00036,30349,"Fulton County, GA",1863,8.440,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,midday,thu|fri|sat|sun,10,14:00,00:00,true,International Terminal
SYN-00037,30349,"Fulton County, GA",1863,2.757,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,evening,mon|tue|wed|thu|fri,8,16:45,00:45,true,Other Airport Area
SYN-00038,30349,"Fulton County, GA",1863,0.816,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,overnight,mon|tue|wed|thu,10,19:30,05:30,true,Delta TechOps
SYN-00039,30349,"Fulton County, GA",1863,8.167,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,midday,wed|thu|fri|sat|sun,8,12:15,20:15,false,Domestic Terminal
SYN-00040,30349,"Fulton County, GA",1863,5.783,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,standard,early_am,wed|thu|fri|sat|sun,8,06:00,14:00,false,Domestic Terminal
SYN-00041,30349,"Fulton County, GA",1863,5.809,v2.3-destinations,ATL-AERO-v1,ATL-Destination-v1,compressed,early_am,fri|sat|sun|mon,10,05:45,15:45,false,South Cargo Area
