cluster_id,grid_center_latitude,grid_center_longitude,home_counties,home_zctas,airport_destination,shift_family,start_window,synthetic_candidate_members,estimated_workforce_equivalents,no_transit_priority_members,partial_transit_members,dominant_work_days,dominant_shift_start,dominant_shift_end,largest_exact_schedule_subgroup,potential_five_rider_vanpools,opportunity_status
VAN-001,33.600,-84.500,"Clayton County, GA|Fulton County, GA",30291|30337|30349,Domestic Terminal,early_am,04:00-06:00,38,380,37,1,mon|tue|wed|thu|fri,05:00,13:00,5,1,ready_for_opt_in_recruitment
VAN-002,33.800,-84.400,"DeKalb County, GA|Fulton County, GA",30306|30308|30309|30314|30318|30324,Domestic Terminal,early_am,04:00-06:00,26,260,24,2,mon|tue|wed|thu|fri,04:30,12:30,3,0,promising_needs_schedule_refinement
VAN-003,33.700,-84.500,"Fulton County, GA",30311|30331|30344,Domestic Terminal,early_am,04:00-06:00,23,230,22,1,mon|tue|wed|thu|fri,05:30,13:30,3,0,promising_needs_schedule_refinement
VAN-004,33.600,-84.400,"Clayton County, GA",30274|30296|30297,Domestic Terminal,early_am,04:00-06:00,17,170,17,0,mon|tue|wed|thu|fri,05:30,13:30,2,0,promising_needs_schedule_refinement
VAN-005,33.400,-84.600,"Coweta County, GA|Fayette County, GA",30269|30277,Domestic Terminal,early_am,04:00-06:00,13,130,13,0,tue|wed|thu|fri|sat,05:30,13:30,2,0,promising_needs_schedule_refinement
VAN-006,33.700,-84.100,"DeKalb County, GA",30038|30058,Domestic Terminal,early_am,04:00-06:00,13,130,13,0,mon|tue|wed|thu|fri,05:45,13:45,2,0,promising_needs_schedule_refinement
VAN-007,33.500,-84.100,"Henry County, GA|Rockdale County, GA",30252,Domestic Terminal,early_am,04:00-06:00,11,110,11,0,thu|fri|sat|sun|mon,05:00,13:00,1,0,promising_needs_schedule_refinement
VAN-008,33.800,-84.400,"Fulton County, GA",30305|30308|30309|30314|30324,Domestic Terminal,early_am,02:00-04:00,11,110,11,0,tue|wed|thu|fri|sat,03:30,11:30,3,0,promising_needs_schedule_refinement
VAN-009,33.700,-84.400,"Fulton County, GA",30310|30315|30354,Domestic Terminal,early_am,04:00-06:00,12,120,10,2,mon|tue|wed|thu|fri,04:00,12:00,2,0,promising_needs_schedule_refinement
VAN-010,33.600,-84.200,"Henry County, GA",30281,Domestic Terminal,early_am,04:00-06:00,10,100,10,0,thu|fri|sat|sun|mon,05:45,13:45,2,0,promising_needs_schedule_refinement
VAN-011,33.800,-84.400,"DeKalb County, GA|Fulton County, GA",30306|30308|30314|30318|30324,Delta TechOps,early_am,04:00-06:00,10,100,10,0,tue|wed|thu|fri|sat,04:30,12:30,2,0,promising_needs_schedule_refinement
VAN-012,33.400,-84.700,"Coweta County, GA",30265,Domestic Terminal,early_am,04:00-06:00,9,90,9,0,mon|tue|wed|thu|fri,04:15,12:15,2,0,exploratory
VAN-013,33.900,-84.500,"Cobb County, GA",30080|30082|30339,Domestic Terminal,early_am,04:00-06:00,9,90,9,0,mon|tue|wed|thu|fri,04:15,12:15,2,0,exploratory
VAN-014,33.700,-84.300,"DeKalb County, GA|Fulton County, GA",30032|30316|30317,Domestic Terminal,early_am,04:00-06:00,9,90,9,0,tue|wed|thu|fri|sat,05:00,13:00,1,0,exploratory
VAN-015,33.600,-84.500,"Clayton County, GA|Fulton County, GA",30291|30337|30349,Domestic Terminal,evening,18:00-20:00,8,80,8,0,mon|tue|wed|thu|fri,18:00,02:00,2,0,exploratory
VAN-016,33.700,-84.500,"Fulton County, GA",30311|30331,South Cargo Area,early_am,04:00-06:00,8,80,8,0,tue|wed|thu|fri|sat,05:00,13:00,1,0,exploratory
VAN-017,33.700,-84.500,"Fulton County, GA",30311|30331|30344,Domestic Terminal,evening,18:00-20:00,8,80,8,0,thu|fri|sat|sun|mon,18:15,02:15,1,0,exploratory
VAN-018,33.600,-84.600,"Fulton County, GA",30213,Domestic Terminal,early_am,04:00-06:00,8,80,8,0,fri|sat|sun|mon,04:00,14:00,2,0,exploratory
VAN-019,33.700,-84.400,"Fulton County, GA",30312|30315|30354,North Cargo Area,early_am,04:00-06:00,8,80,8,0,thu|fri|sat|sun,05:30,15:30,1,0,exploratory
VAN-020,33.800,-84.400,"DeKalb County, GA|Fulton County, GA",30306|30309|30313|30314|30324,International Terminal,early_am,04:00-06:00,8,80,8,0,mon|tue|wed|thu|fri,04:45,12:45,2,0,exploratory
VAN-021,33.900,-84.300,"DeKalb County, GA",30319|30338|30341|30345,Domestic Terminal,early_am,04:00-06:00,8,80,8,0,fri|sat|sun|mon|tue,04:45,12:45,1,0,exploratory
VAN-022,33.700,-84.700,"Douglas County, GA",30135,Domestic Terminal,early_am,04:00-06:00,9,90,7,2,sat|sun|mon|tue,04:45,14:45,1,0,exploratory
VAN-023,33.600,-84.500,"Clayton County, GA|Fulton County, GA",30291|30349,Other Airport Area,early_am,04:00-06:00,7,70,7,0,sat|sun|mon|tue|wed,05:15,13:15,1,0,exploratory
VAN-024,33.600,-84.500,"Clayton County, GA|Fulton County, GA",30337|30349,Delta TechOps,early_am,04:00-06:00,7,70,7,0,fri|sat|sun|mon|tue,04:45,12:45,1,0,exploratory
VAN-025,33.600,-84.200,"Clayton County, GA|Henry County, GA",30281,Delta TechOps,early_am,04:00-06:00,7,70,7,0,wed|thu|fri|sat|sun,05:30,13:30,1,0,exploratory
VAN-026,33.700,-84.500,"Fulton County, GA",30311|30331|30344,Domestic Terminal,evening,16:00-18:00,7,70,7,0,wed|thu|fri|sat|sun,17:15,01:15,2,0,exploratory
VAN-027,33.400,-84.600,"Coweta County, GA|Fayette County, GA",30269|30277,Delta TechOps,early_am,04:00-06:00,7,70,7,0,wed|thu|fri|sat|sun,04:00,12:00,1,0,exploratory
VAN-028,33.700,-84.500,"Fulton County, GA",30311|30344,Other Airport Area,early_am,04:00-06:00,7,70,7,0,mon|tue|wed|thu|fri,04:15,12:15,1,0,exploratory
VAN-029,33.600,-84.400,"Clayton County, GA",30274|30296|30297,International Terminal,early_am,04:00-06:00,7,70,7,0,thu|fri|sat|sun|mon,05:30,13:30,1,0,exploratory
VAN-030,33.600,-84.400,"Clayton County, GA",30274|30296|30297,Other Airport Area,early_am,04:00-06:00,7,70,7,0,fri|sat|sun|mon,05:45,15:45,2,0,exploratory
VAN-031,33.800,-84.400,"Fulton County, GA",30303|30308|30309|30318|30324|30326,Other Airport Area,early_am,04:00-06:00,7,70,7,0,mon|tue|wed|thu|fri,05:00,13:00,1,0,exploratory
VAN-032,33.900,-84.500,"Cobb County, GA",30060|30067|30080|30339,Delta TechOps,early_am,04:00-06:00,7,70,7,0,mon|tue|wed|thu|fri,04:15,12:15,2,0,exploratory
VAN-033,33.400,-84.900,"Coweta County, GA",30263,Domestic Terminal,early_am,04:00-06:00,7,70,6,1,tue|wed|thu|fri|sat,05:30,13:30,1,0,exploratory
VAN-034,33.500,-84.300,"Clayton County, GA",30236,Domestic Terminal,early_am,04:00-06:00,7,70,6,1,mon|tue|wed|thu|fri,05:30,13:30,1,0,exploratory
VAN-035,33.400,-84.500,"Fayette County, GA",30215,Domestic Terminal,early_am,04:00-06:00,7,70,6,1,mon|tue|wed|thu|fri,04:15,12:15,2,0,exploratory
VAN-036,33.600,-84.500,"Clayton County, GA|Fulton County, GA",30291|30337|30349,Domestic Terminal,early_am,02:00-04:00,6,60,6,0,fri|sat|sun|mon|tue,03:45,11:45,2,0,exploratory
VAN-037,33.600,-84.500,"Fulton County, GA",30291|30337|30349,International Terminal,early_am,04:00-06:00,6,60,6,0,mon|tue|wed|thu|fri,05:30,13:30,2,0,exploratory
VAN-038,33.400,-84.500,"Fayette County, GA",30215,International Terminal,early_am,04:00-06:00,6,60,6,0,fri|sat|sun|mon,04:00,14:00,1,0,exploratory
